Area,MTU,Fossil Gas  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
BZN|SE3,05.01.2022 17:00 - 05.01.2022 18:00 (CET/CEST),0,1427,6974,1147,0,1442
BZN|SE3,05.01.2022 18:00 - 05.01.2022 19:00 (CET/CEST),0,1424,6973,1164,0,1590
BZN|SE3,05.01.2022 19:00 - 05.01.2022 20:00 (CET/CEST),0,1386,6972,1188,0,1706
BZN|SE3,05.01.2022 20:00 - 05.01.2022 21:00 (CET/CEST),0,1329,6971,1181,0,1797
BZN|SE3,05.01.2022 21:00 - 05.01.2022 22:00 (CET/CEST),0,1064,6972,1188,0,1864
BZN|SE3,05.01.2022 22:00 - 05.01.2022 23:00 (CET/CEST),0,999,6972,1197,0,1957
BZN|SE3,05.01.2022 23:00 - 06.01.2022 00:00 (CET/CEST),0,951,6972,1150,0,1990
BZN|SE3,06.01.2022 00:00 - 06.01.2022 01:00 (CET/CEST),0,924,6971,983,0,1992
BZN|SE3,06.01.2022 01:00 - 06.01.2022 02:00 (CET/CEST),0,915,6969,902,0,1963
BZN|SE3,06.01.2022 02:00 - 06.01.2022 03:00 (CET/CEST),0,915,6969,866,0,1900
BZN|SE3,06.01.2022 03:00 - 06.01.2022 04:00 (CET/CEST),0,919,6971,870,0,1855
BZN|SE3,06.01.2022 04:00 - 06.01.2022 05:00 (CET/CEST),0,948,6971,904,0,1782
BZN|SE3,06.01.2022 05:00 - 06.01.2022 06:00 (CET/CEST),0,958,6970,1003,0,1700
BZN|SE3,06.01.2022 06:00 - 06.01.2022 07:00 (CET/CEST),0,1038,6970,1120,0,1605
BZN|SE3,06.01.2022 07:00 - 06.01.2022 08:00 (CET/CEST),0,1259,6970,1187,0,1540
BZN|SE3,06.01.2022 08:00 - 06.01.2022 09:00 (CET/CEST),0,1382,6629,1258,0,1481
BZN|SE3,06.01.2022 09:00 - 06.01.2022 10:00 (CET/CEST),0,1528,6287,1251,2,1435
BZN|SE3,06.01.2022 10:00 - 06.01.2022 11:00 (CET/CEST),0,1551,6317,1261,9,1315
BZN|SE3,06.01.2022 11:00 - 06.01.2022 12:00 (CET/CEST),0,1559,6369,1299,17,1142
BZN|SE3,06.01.2022 12:00 - 06.01.2022 13:00 (CET/CEST),0,1557,6396,1303,18,998
BZN|SE3,06.01.2022 13:00 - 06.01.2022 14:00 (CET/CEST),0,1557,6395,1290,13,884
BZN|SE3,06.01.2022 14:00 - 06.01.2022 15:00 (CET/CEST),0,1558,6397,1291,5,847
BZN|SE3,06.01.2022 15:00 - 06.01.2022 16:00 (CET/CEST),0,1570,6424,1288,0,887
BZN|SE3,06.01.2022 16:00 - 06.01.2022 17:00 (CET/CEST),0,1571,6559,1288,0,914
BZN|SE3,06.01.2022 17:00 - 06.01.2022 18:00 (CET/CEST),0,1573,6667,1285,0,963
BZN|SE3,06.01.2022 18:00 - 06.01.2022 19:00 (CET/CEST),0,1571,6668,1284,0,969
BZN|SE3,06.01.2022 19:00 - 06.01.2022 20:00 (CET/CEST),0,1534,6668,1290,0,974
BZN|SE3,06.01.2022 20:00 - 06.01.2022 21:00 (CET/CEST),0,1498,6672,1285,0,927
BZN|SE3,06.01.2022 21:00 - 06.01.2022 22:00 (CET/CEST),0,1395,6096,1276,0,942
BZN|SE3,06.01.2022 22:00 - 06.01.2022 23:00 (CET/CEST),0,1228,5541,1262,0,883
BZN|SE3,06.01.2022 23:00 - 07.01.2022 00:00 (CET/CEST),0,1073,5546,1248,0,859
BZN|SE3,07.01.2022 00:00 - 07.01.2022 01:00 (CET/CEST),0,1011,5550,1211,0,755
BZN|SE3,07.01.2022 01:00 - 07.01.2022 02:00 (CET/CEST),0,984,5557,1107,0,676
